Afore	Trước
aflow	một dòng chảy
afore	trước
afret	lo lắng
after	sau
again	lần nữa
agars	thạch
Agate	Mã não
Agave	Cây thùa
agaze	kinh ngạc
agend	nghị sự
agene	tuổi mới lớn
agent	đại lý
aggry	sự kết hợp
aggro	Hung bạo
aggur	bồ bịch
agile	nhanh nhẹn
aging	sự lão hóa
agism	chủ nghĩa kích động
aglow	nhanh chóng
agoge	đau khổ
agoho	trước đây
agony	đau đớn
agree	đồng ý
agush	phấn khích
agust	mạnh mẽ
ahead	phía trước
aheap	một đống
ahind	phía sau
ahint	một gợi ý
ahold	kìa
ahunt	một cuộc săn bắn
aided	hỗ trợ
Aides	Phụ tá
Aidit	Viện trợ
aiery	thoáng mát
ailed	ốm yếu
aimed	nhằm vào
aimer	người ngắm bắn
aioli	Bơ
ayond	xa hơn
aired	được phát sóng
airer	máy bay
aisle	lối đi
ajari	sư thầy
aknee	đầu gối
aknow	một bí quyết
alack	thiếu
Alair	Một hang ổ
Alake	Một hồ nước
Aland	Một vùng đất
alarm	báo thức
albus	xe buýt
alday	trong ngày
Alder	Già hơn
aleak	lổ thủng
aleft	bên trái
alert	báo động
alfas	bí danh
algae	tảo
algal	tảo
alias	bí danh
alibi	bằng chứng ngoại phạm
alien	người ngoài hành tinh
aliet	bí danh
alife	một cuộc sống
alifs	bí danh
align	căn chỉnh
alike	như nhau
alist	một danh sách
ality	đồng minh
alive	còn sống
allay	xoa dịu
Alley	Ngõ
Allin	Tất cả trong
Allis	Tất cả là
Allys	Đồng minh
alloy	hợp kim
allot	phân bổ
allow	cho phép
aloft	trên cao
alone	một mình
along	dọc theo
aloof	đứng cách xa
aloud	lớn tiếng
alout	ra ngoài
altar	bàn thờ
alter	thay đổi
alure	đồng ý
alway	luôn
amalg	hỗn hống
amass	tích lũy
amate	một người bạn
amaze	kinh ngạc
Amber	Hổ phách
Amble	Đi thong thả
ameed	sửa chữa
Amend	Sửa đổi
amene	người mỹ
amess	một mớ hỗn độn
amies	quân đội
amine	amin
amirs	bạn trai
amiss	không ổn
Amity	Tình thân
amlet	bùa hộ mệnh
amnia	chứng mất trí nhớ
amole	một nốt ruồi
among	giữa
amour	tình yêu
amove	một nước đi
ample	Phong phú
amply	đủ
amuck	mê muội
amuse	giải trí
amuze	làm say mê
ancle	chiếc cúp
anear	cây cỏ khô
anele	cây an xoa
anend	kết thúc
anent	không phải
Angel	Thiên thần
anger	Sự phẫn nộ
Angle	Góc
angry	tức giận
angst	sợ
anime	phim hoạt hình
anise	cây hồi
ankle	mắt cá
ankus	mắt cá chân
anlas	bản đồ
annex	Phụ lục
annoy	làm phiền
annot	chú thích
annul	bãi bỏ
anode	cực dương
anomy	dị thường
Anthe	Một sự
antic	chống đối
antis	chống lại
antsy	có kiến
anury	cơn thịnh nộ
anvil	cái đe
aorta	động mạch chủ
apair	một đôi
apart	riêng biệt
apast	một quá khứ
aphid	rệp
apian	nuôi ong
apism	thuyết ngụy biện
apnea	ngưng thở
apods	apod
appal	bổ sung
appar	ứng dụng
Apple	quả táo
apply	áp dụng
appro	chấp thuận
April	tháng tư
apron	tạp dề
aptly	khéo léo
Apure	Xin lỗi
aquas	nước biển
arabs	người nhện
arace	một cuộc đua
arach	con nhện
arage	một cơn thịnh nộ
arake	cái cào
arbor	cây thông
arced	bắt buộc
ardor	nhiệt huyết
aread	hạt
areae	khu vực
areas	khu vực
Areca	Cau
areek	cau có
arefy	làm hài lòng
arend	uốn cong
arent	không
arere	con ong
arest	thạch anh
Areus	Là chúng ta
Argia	Đau khớp
argle	tranh luận
argot	tranh cãi
argue	tranh cãi
Arhat	La hán
Aries	Bạch Dương
ariot	một cuộc bạo loạn
arise	nảy sinh
arist	bình nóng lạnh
armed	vũ trang
armor	áo giáp
arnut	quả óc chó
aroar	náo động
Arock	Một hòn đá
aroma	mùi thơm
arose	nảy sinh
arrah	sắp xếp
array	mảng
arret	cây đàn
arrow	mũi tên
arses	lừa
arson	đốt phá
artal	gia sản
artic	khớp nối
artly	nghệ thuật
artsy	nghệ thuật
arvel	mũi tên
Asare	Như là
ascan	quét
ASCAP	CÀNG SỚM CÀNG TỐT
ashed	tro tàn
Ashes	Tro
Asian	Châu Á
aside	qua một bên
async	không đồng bộ
askar	người hỏi
asked	yêu cầu
asker	người hỏi
askew	xiên
asper	theo
assay	khảo nghiệm
Asser	Khẳng định
asses	lừa
asset	tài sản
assot	đánh lừa
astay	kinh ngạc
astre	kinh ngạc
asway	đi xa
atake	làm lại
atees	người bảo vệ
ative	động cơ
ATLAS	BẢN ĐỒ
Atlee	Atletico
atoke	đóng đinh
atoll	đảo san hô
atone	chuộc lỗi
atony	mất trương lực
atour	một tour du lịch
atria	tâm nhĩ
atrip	một chuyến đi
attal	tô màu
attar	tinh dầu
Attic	Gác xép
attle	tinh dầu
attry	chứng thực
atule	sự cai trị
atune	một giai điệu
audad	thử giọng
audio	âm thanh
audit	kiểm toán
AUDIX	ÂM THANH
auger	thợ khoan
augur	chiêm tinh gia
aulas	công thức
aunty	bác gái
aunts	các dì
aurae	hào quang
aurar	hào quang
auras	hào quang
Aurel	Nguyệt quế
autos	ô tô
Autum	Mùa thu
avail	tận dụng
avens	lò nướng
avers	không thích
avert	tránh xa
avick	cuồng nhiệt
aview	một cái nhìn
avine	một cây dây leo
avoid	tránh
avoir	tránh xa
avoke	tận dụng
avour	có sẵn
avows	lời hứa
awaft	chờ đợi
aways	đi đi
await	chờ đợi
awake	thức tỉnh
awalt	khủng khiếp
awane	kinh khủng
award	phần thưởng
aware	nhận thức
awarn	đã học
awash	rửa sạch
awave	một làn sóng
aweek	một tuần
awest	kinh khủng
aweto	chờ đợi
awful	tồi tệ
awhet	đáng tiếc
awide	chờ đợi
awing	chờ đợi
awink	chớp mắt
awned	có mái che
awner	người đứng dậy
awoke	thức dậy
awols	ngu ngốc
awork	một công việc
axers	xe trục
axial	trục
axils	trục
axing	trục
axiom	tiên đề
axled	có trục
axles	trục xe
axman	người thợ rìu
axons	sợi trục
azoic	vô sinh
azure	màu xanh
baaed	la hét
Baber	em bé
baboo	điều cấm kỵ
backy	lưng chừng
Backs	Mặt sau
Bacon	Thịt ba rọi
badge	huy hiệu
badly	tệ
baffs	vách ngăn
bagel	bánh mì tròn
bagge	cái túi
baggy	rộng thùng thình
bagle	bánh mì tròn
bagre	túi xách
bayed	bay lên
bails	tiền bảo lãnh
Bains	Lợi nhuận
baits	bả
baked	nướng
Baker	thợ làm bánh
Bakes	Bánh
Bakke	Bánh nướng
baldy	hói
balds	kiện hàng
baled	đóng kiện
bales	kiện
balky	bủn rủn chân tay
balks	kiện
ballo	bong bóng
balls	những quả bóng
balmy	gàn
balms	kiện
balow	kêu la
banak	Banak
banal	tầm thường
Banda	Gấu trúc
bandy	không mui
bands	ban nhạc
baned	cấm
banes	lệnh cấm
bange	tiếng nổ
Bangs	Tóc mái
banig	lan can
Banks	Ngân hàng
banns	lệnh cấm
Banon	Cấm
barba	man rợ
barbs	ngạnh
bards	thẻ bài
bared	thanh
barff	nói xấu
barfy	thanh trừng
barfs	đầu bếp
barge	xà lan
bargh	thanh lương
barky	sủa
barks	sủa
barmy	lên men
barms	hàng rào
barns	chuồng trại
barse	thanh minh
basad	cá ba sa
basal	cơ bản
basan	cá ba sa
based	dựa trên
bases	căn cứ
BASIC	NỀN TẢNG
Basil	Húng quế
basin	lòng chảo
basis	nền tảng
baske	đánh cá
basks	bồn nước
bason	thợ nề
bassy	trầm đục
basta	khốn nạn
basto	khốn nạn
basts	bảo kê
batad	dùi cui
batch	lô hàng
batel	cây gậy
bathe	tắm rửa
baths	bồn tắm
bawdy	nói bậy
bawke	tiếng kêu
bawls	tiếng nói bậy bạ
Beach	bờ biển
beady	có hạt
beads	hạt
beaky	có mỏ
beaks	mỏ
Beall	Là tất cả
beamy	rạng rỡ
beams	dầm
beans	đậu
Beard	Râu
bears	gấu
beast	quái thú
beath	mỏ
beats	nhịp đập
beaut	mỹ miều
bebed	làm nũng
becap	beo
becut	được cắt
bedye	ngủ nướng
bedog	giường ngủ
bedub	giường ngủ
bedur	người ngủ
beech	cây sồi
beefy	lực lưỡng
beefs	thịt bò
beeps	tiếng bíp
Beers	Bia
beets	củ cải
befit	phù hợp
begad	cầu xin
begay	Là gay
began	đã bắt đầu
begat	cầu xin
beget	gây ra
Beggs	Người ăn xin
Begin	Bắt đầu
begod	là Chúa
begot	cầu xin
begum	cầu xin
begun	đã bắt đầu
begut	xin ăn
behap	cư xử
behav	cư xử
beige	be
being	hiện tại
belch	ợ hơi
belie	tin tưởng
belly	bụng
Bells	Chuông
below	phía dưới
belts	thắt lưng
belve	tin tưởng
bemad	bị điên
bench	Băng ghế
bendy	uốn cong
bends	khúc cua
Benes	Lợi ích
benty	nhiều
bents	tiền xu
Beret	Mũ nồi
bergy	giáo sĩ
berms	gờ
Berry	quả mọng
berth	bến đỗ
besan	bột đậu
besee	cầu xin
beset	bao quanh
besew	làm riêng
besit	làm riêng
besom	bỡn cợt
besot	vây quanh
bespy	làm phiền
bests	tốt nhất
betel	trầu cau
betes	cá cược
Bethe	Là
BETRS	CƯỢC
bevel	góc xiên
bevil	cái đe
bewet	say mê
bewig	mê muội
bewit	làm say mê
bewry	hoang mang
byard	tạm biệt
bibbs	cái yếm
Bybee	Tạm biệt
Bible	Kinh thánh
bicep	cái bắp tay
bices	tệ
bider	rượu táo
bidet	chậu rửa vệ sinh
bidry	đấu thầu
bifer	người chơi bifer
biffs	còng
bigas	lớn như
biggy	người lớn
bigly	to lớn
biked	đạp xe
biker	người lái xe đạp
bikes	xe đạp
bilbo	gươm
bilch	phôi thép
Bilek	Mật
bilge	lò luyện thép
bilic	song âm
bilks	phôi thép
Billi	Bida
Bills	Hóa đơn
bimbo	bim bim
binds	ràng buộc
binge	say sưa
bingo	chơi lô tô
biome	quần xã sinh vật
Biota	Hệ sinh vật
biped	hai chân
bipod	hai chân
Birch	Bạch dương
birdy	chim chóc
Birds	Chim
birks	bạch dương
Byrle	Tạm biệt
birth	Sinh
bises	bise
biset	bánh quy
bisks	bánh quy
bison	bò rừng
bitch	chó cái
bites	vết cắn
bytes	byte
bitsy	bity
byway	bằng cách
Black	Màu đen
blade	lưỡi
blame	khiển trách
blams	những lời trách móc
Bland	Dịu dàng
Blank	Trống
blare	chói lọi
blast	vụ nổ
blawn	nhuộm đỏ
blazy	rực rỡ
bleak	ảm đạm
blear	ảm đạm
bleat	kêu be be
blebs	tẩy trắng
bleck	tẩy trắng
bleed	chảy máu
bleep	tẩy trắng
blend	trộn
blenk	tẩy trắng
blens	tẩy trắng
blere	ảm đạm
bless	ban phước
blest	xanh nhất
blets	tẩy trắng
blibe	Blibe
blimy	hạnh phúc
Blimp	Khinh khí cầu
blind	mù
blini	bánh hạnh nhân
bliny	chớp mắt
blink	chớp mắt
blips	bọng nước
blirt	tán tỉnh
Bliss	Phúc lạc
blist	phồng rộp
Blitz	Chớp nhoáng
blizz	bão tuyết
bloat	sưng lên
Block	Khối
blocs	khối
bloke	nở hoa
blond	tóc vàng
Blood	Máu
Bloom	Hoa
blots	đốm màu
blowy	khô khốc
blown	thổi bay
blows	thổi
blued	xanh lam
bluff	bịp bợm
Blunt	Cùn
blurb	sự lộn xộn
blurs	làm mờ
blurt	buột miệng
blush	đỏ mặt
board	Cái bảng
boars	lợn rừng
boast	khoe khoang
boats	thuyền
boded	trùm đầu
boder	áo khoác
bodge	né tránh
bodhi	bồ đề
bodle	vẽ nguệch ngoạc
boggy	sa lầy
bogle	sa lầy
bogum	sa lầy
bogus	không có thật
boils	nhọt
boled	bắt vít
bolly	nhanh nhẹn
bolls	quả bông
bolty	táo bạo
bolts	bu lông
bombs	bom
bonds	trái phiếu
boned	có xương
bones	xương
Bonns	Tiền thưởng
bonus	Tặng kem
booby	rượu chè
boobs	bộ ngực
booed	la ó
booky	có nhiều sách
books	sách
booms	bùng nổ
boons	lợi ích
boose	con nai sừng tấm
boosy	la ó
boost	tăng
Booth	Gian hàng
booty	chiến lợi phẩm
Boots	Giày ống
Booze	Rượu
boozy	hơi say
borax	hàn the
bored	chán
Borer	Sâu đục
Bores	Lỗ khoan
borgh	cao lương
borne	chịu đựng
bossy	hách dịch
Botes	Phiếu bầu
bothy	cả hai
bottu	bottomu
bouch	quả vải
bouge	nảy lên
Bound	Ràng buộc
bourd	bầu bí
bousy	không có thật
bouts	cơn
bowed	cúi đầu
bowel	ruột
Bowes	Cung
bowly	cúi đầu
bowls	bát
boxed	đóng hộp
Boxer	Võ sĩ quyền Anh
boxes	hộp
boxty	hình hộp
bozze	rượu chè
brach	con nít
bract	lá bắc
braes	áo lót
Bragg	Khoe khoang
brags	khoe khoang
braid	bím tóc
brail	sự dũng cảm
brain	óc
brake	phanh
braky	bạo dạn
Brand	Thương hiệu
Brans	Cám
brash	hỗn láo
Brass	Thau
brast	áo ngực
brats	lũ nhóc
brave	can đảm
brawl	ẩu đả
bread	bánh mỳ
break	nghỉ
Bream	Cá tráp
breck	bẻ khóa
brede	con lai
Breed	Giống
breek	con lạch
brees	vi phạm
brens	bia
breve	lỗ thủng
brews	bia
bribe	mua chuộc
Brick	Gạch
Bride	Vị hôn thê
BRIEF	NGẮN GỌN
brigs	cầu thang
brims	vành mũ
Brine	Nước muối
Bring	Mang đến
brise	nước muối
brisk	nhanh chóng
brist	lông cứng
Broad	Rộng lớn
broch	tờ rơi quảng cáo
broil	giấy bạc
broke	phá sản
broll	nghiền ngẫm
bronc	người nuôi
brood	bố mẹ
broom	chổi
broon	cây trâm
broos	cây trâm
broth	nước dùng
browd	màu nâu
Brown	màu nâu
brows	lông mày
bruet	ngăm đen
brugh	bầm dập
bruke	bầm dập
brune	ngăm đen
brunt	ngăm đen
Brush	Chải
brusk	cái chổi
brute	vũ phu
bruzz	bầm dập
btise	lỗ mộng
bubas	bong bóng
bubby	bubbleby
Bucks	Xô
Buddh	Bạn thân
Buddy	Bạn bè
budgy	chồi non
buffs	người yêu thích
buggy	có lỗi
bugle	tiếng kêu vang
bugre	con bọ
Buyer	Người mua
build	xây dựng
built	được xây dựng
Buyse	Mua
bulbs	bóng đèn
Bulge	Phình to
bulgy	to béo
bulky	cồng kềnh
bulks	hàng loạt
Bully	Bắt nạt
bulls	bò đực
bumph	va chạm
bumpy	mấp mô
bumps	va chạm
Bunch	Bó
bundh	bó
bundt	bó
bungs	nhà gỗ
bunks	giường tầng
Bunny	Con thỏ
buoys	phao
burbs	ợ
burds	vết bỏng
burge	gờ
burgh	ợ
burgs	gùi
burys	gùi
burly	vạm vỡ
Burma	Miến Điện
Burns	Bỏng
burnt	cháy
burps	ợ hơi
burrs	gờ
burst	nổ
bused	bận rộn
buses	xe buýt
bushy	rậm rạp
busky	bận rộn
busks	người hát rong
Bussy	Âm hộ
busty	nóng nảy
busto	bức tượng bán thân
busts	bán thân
butat	Nhưng tại
butts	mông
buzzy	ồn ào
cabaa	taxiaa
Cabal	Âm mưu
cabas	xe taxi
cabby	taxi
Cable	Cáp
cabre	taxi
cache	bộ nhớ đệm
cacti	xương rồng
Cacus	Xương rồng
caddy	caddie
Cadet	Thiếu sinh quân
cadge	ăn xin
cadre	cán bộ
cafes	quán cà phê
cafoy	nhà ăn
caged	lồng
cagey	lồng lộn
cages	lồng
caggy	cheo leo
caked	đóng cục
cakey	bánh bèo
cakes	Bánh
calfs	con bê
calyx	đài hoa
calks	bê tráp
callo	chú thích
calls	cuộc gọi
calmy	bê tha
calms	bình tĩnh
calor	bình tĩnh
Calve	Bắp chân
Camel	Con lạc đà
camps	trại
Canad	Canada
canal	con kênh
Canby	Có thể bởi
Candy	Kẹo
Cando	Có thể làm được
caned	đóng hộp
canes	gậy
Canna	Dong riềng
canny	khôn ngoan
canoe	xuồng
caped	mũ lưỡi trai
caper	bạch hoa
capes	áo choàng
Capys	Mũ lưỡi trai
capot	mũ lưỡi trai
cappy	có lông
caput	mũ lưỡi trai
carap	áo khoác
carat	caravat
cards	thẻ
cared	quan tâm
Carey	Cẩn thận
carer	người chăm sóc
cares	quan tâm
caret	dấu mũ
cargo	hàng hóa
carid	khô khan
carpe	tấm thảm
carps	cá chép
Carry	Mang, thừa nhận
carrs	thợ chế tạo
carse	con ngựa
carts	xe đẩy
carve	khắc chạm
casas	áo cà sa
cased	vỏ bọc
cases	các trường hợp
casky	thùng tiền
casks	thùng
casse	thịt hầm
caste	đẳng cấp
casts	phôi
catch	chụp lấy
cater	phục vụ
CATIS	MÈO LÀ
cauld	cái vạc
causa	nhân quả
cause	nguyên nhân
cavae	ấu trùng
caval	kỵ binh
caved	hang động
caver	hang động
Caves	Hang động
cawed	có lông
cawny	có lông
CDROM	Ổ ĐĨA CD
cease	ngưng
cecal	manh tràng
cecum	manh tràng
Cedar	Tuyết tùng
ceded	nhượng lại
cedes	nhường
ceile	vỏ bọc
celeb	người nổi tiếng
Cello	Đàn Trung Hồ cầm
cells	tế bào
celom	cây celom
cents	xu
certy	xác thực
cetic	xi măng
chaft	vết nứt
Chain	Chuỗi
chair	cái ghế
chalk	phấn
chant	bài hát nhịp
chaos	sự hỗn loạn
chape	người đi kèm
chapt	đọc kinh
Chard	Cải cầu vồng
chark	than củi
charm	quyến rũ
charr	người đi làm thuê
chars	ký tự
chart	đồ thị
Chase	săn bắt
chasm	hang sâu
chats	cuộc trò chuyện
chaws	câu chuyện
cheap	rẻ
cheat	gian lận
check	kiểm tra
cheek	má
cheep	chim kêu
cheer	reo hò
chefs	các đầu bếp
chess	cờ vua
chest	ngực
chewy	dai
chews	nhai
Chick	gà con
chide	nói vui
chief	trưởng phòng
Child	Đứa trẻ
chili	ớt
Chill	Sự thư thái
chime	kêu vang
chyme	nhũ trấp
chimp	tinh tinh
China	Trung Quốc
chine	lưng heo
chins	cằm
chips	khoai tây chiên
chirk	kêu ca
chirm	tiếng kêu vang
chirp	tiếng kêu
chirr	kêu vang
chirt	kêu ca
chits	gà con
chive	Lá thơm
chivw	nói chuyện phiếm
chizz	kêu vang
choir	hợp xướng
choke	nghẹt thở
chops	chặt
chord	dây nhau
chore	việc vặt
chose	đã chọn
CHOTS	LỰA CHỌN
chunk	khúc gỗ
churl	dân quê
churm	khuấy động
churn	khuấy động
cyans	màu lục lam
cicad	con ve sầu
cycad	bánh xe xích lô
cicer	cái ve sầu
cycle	xe đạp
cyclo	xe xích lô
cidal	thủy triều
cider	rượu táo
cigar	Điếu xì gà
cigua	xì gà
cilia	lông mi
cylix	hình trụ
cymba	chũm chọe
cines	dây leo
Cynic	Hoài nghi
circs	vòng tròn
cysts	u nang
cited	trích dẫn
citee	trích dẫn
cites	trích dẫn
civet	cầy hương
civic	dân sự
civil	dân sự
civvy	công dân
Clabo	Công phu
clach	bấu víu
clack	lách cách
clads	áo khoác
claes	mệnh đề
clags	tiếng vỗ tay
claye	đất sét
claim	yêu cầu
clays	đất sét
clake	đóng cục
clamb	tiếng ồn ào
clame	nói nhảm
clamp	kẹp
clams	sò
clang	kêu vang
clank	lách cách
clans	thị tộc
clape	cái kẹp
claps	vỗ tay
clapt	vỗ tay
clart	nói chuyện phiếm
clash	sự xung đột
CLASS	LỚP
clast	nói xấu
claut	vỗ tay
clave	vỗ tay
clavy	gợn sóng
clawk	móng vuốt
claws	móng vuốt
clead	thắt lưng
clean	lau dọn
clear	thông thoáng
cleck	khóa chặt
cleek	làm sạch
clefs	khóa học
cleft	khe hở
clepe	khóa chặt
clept	nắm chặt
Clerk	Nhân viên văn phòng
clews	khóa chặt
clich	sự cắt xén
click	nhấp chuột
Cliff	Vách đá
clima	khí hậu
climb	trèo
cling	bám vào
clink	tiếng lách cách
clips	clip
clipt	cắt
cloak	áo choàng
cloam	áo choàng
clock	cái đồng hồ
clods	vón cục
cloes	đinh hương
cloff	áo choàng
clogs	guốc
cloys	áo choàng
cloit	quần áo
cloke	làm tắc nghẽn
cloky	che đậy
clomp	áo quần
clone	dòng vô tính
cloof	áo choàng
cloop	cheo leo
cloot	chiếc áo khoác
clops	tiếng vỗ tay
Close	Đóng
closh	đóng cửa
clote	áo choàng
cloth	vải
clots	cục máu đông
CLOUD	ĐÁM MÂY
clour	cặn bã
clout	quần áo
clove	Đinh hương
clown	thằng hề
cloze	đóng băng
clubs	câu lạc bộ
cluck	bộp bộp
clued	dính chặt
clues	manh mối
cluff	tiếng lách cách
clump	vón cục
clung	bám chặt
clunk	lạch cạch
coach	huấn luyện viên
coact	hiệp ước
coala	than
coaly	than
coals	than
coast	bờ biển
Coats	Áo khoác
Cobby	Sở thích
cobbs	lõi ngô
cobia	cá bớp
Cobra	Rắn hổ mang
cocci	cầu khuẩn
Cocke	Gà trống
cocky	tự phụ
Cocks	Gà trống
cocoa	ca cao
coded	mã hóa
Codel	Mã hóa
coder	lập trình viên
codes	mã số
coeds	đồng cỏ
coeff	hệ số
coffs	còng
cogue	lừa dối
cohog	con nhím
coyly	nhát gan
coils	cuộn dây
coiny	đồng xu
coins	đồng xu
coirs	người đóng giả
coked	luyện cốc
cokey	con lừa
cokes	than cốc
colds	cảm lạnh
coley	lúa mạch
colic	đau bụng
colob	màu sắc
colog	nước hoa
Colon	Đại tràng
color	màu sắc
colts	ngựa con
comby	khó khăn
combo	kết hợp
Combs	Lược
comes	đến
comet	sao chổi
comfy	thoải mái
comic	hài hước
comma	dấu phẩy
comme	khen ngợi
commy	phúng phính
commo	hỗn loạn
Comus	Hôn mê
conch	ốc xà cừ
condo	chung cư
cones	hình nón
confr	sự trao đổi
conge	cháo
consy	sự đồng ý
Const	hăng sô
CONUS	KẾT LUẬN
cooed	thủ thỉ
cooey	nói nhảm nhí
Cooks	Đầu bếp
cooly	đã bình tĩnh
cools	nguội
coons	chuột con
coops	chuồng ngựa
coopt	chuồng ngựa
coost	gà trống
cooth	răng khểnh
coots	con cu
coped	đối phó
copei	đương đầu
copes	đối phó
copra	cùi dừa
Coral	San hô
cords	dây
cored	nghiên cứu kỷ công việc
corer	cốt cán
cores	lõi
corge	cây bần
corgi	chó corgi
corke	nút chai
corky	chai sạn
corks	nút chai
corms	nút chai
Corny	Xưa
corns	bắp
cornu	ngô
corps	quân đoàn
Corse	Thô
corve	cùi bắp
cosed	chăn nuôi
costs	chi phí
cothe	có thể
couch	đi văng
coude	anh bạn
cough	ho
could	có thể
Count	Đếm
coups	đảo chính
courb	vùng ngoại ô
Court	Tòa án
couve	đi văng
coved	thèm muốn
cover	che
coves	vịnh nhỏ
covet	thèm muốn
cowed	thu mình lại
cowle	chăn bò
cowls	cao bồi
cowry	chăn bò
coxed	hợp tác
crabs	cua
crack	nứt
craft	thủ công
crags	cheo leo
cramp	chuột rút
crams	nhồi nhét
Crane	Máy trục
crany	khờ khạo
crank	tay quây
crapy	trị liệu
Crary	Danh dự
crash	tai nạn
crass	cáu kỉnh
crate	cái thùng
crave	thèm muốn
crawl	bò
crawm	thu thập thông tin
craze	sự cuồng nhiệt
crazy	khùng
creak	cót két
cream	kem
creat	người sáng tạo
creda	credita
creed	tín điều
Creek	Lạch nhỏ
creep	leo
crepe	bánh crepe
crept	len lỏi
cress	cải xoong
crest	mào
crews	phi hành đoàn
cryal	lạnh lùng
cribs	cũi
cried	khóc
cries	khóc
crime	tội ác
crimp	uốn nếp
crink	làm quăn
cripe	xếp nếp
crypt	hầm mộ
criss	vết nứt
cryst	tinh thể
croak	lạch cạch
crock	lừa đảo
crocs	giày crocs
crony	bạn thân
cronk	khúm núm
crook	kẻ gian
crops	cây trồng
Cross	Bắt chéo
crowd	bầy đàn
crowl	tiếng gáy
Crown	Vương miện
crows	quạ
croze	cắt xén
cruck	kêu răng rắc
crude	thô thiển
crudy	thô thiển
cruds	đồ vụn
cruel	hung ác
cruet	chai
crull	tàu lượn
crumb	mảnh vụn
crump	nhàu nát
crunk	mảnh vụn
cruor	tàu tuần dương
crush	người mình thích
crust	vỏ trái đất
Cuban	Cuba
cubeb	khối lập phương
cubed	hình khối
cubes	khối
cubic	hình khối
Cuddy	Bạn thân
cuffy	có lông
cuffs	còng
cuing	giám định
cuish	kháu khỉnh
culmy	khờ khạo
culms	thân cây
culot	quần cụt
culti	trồng trọt
cults	giáo phái
cumin	cây thì là
cumly	kiêm luôn
cundy	hợp thời trang
cunei	hình nêm
cunny	khờ khạo
cunts	lồn
Cupid	thần tình yêu
curby	cà ri
curbs	lề đường
curch	uốn cong
curdy	cong
curds	sữa đông
cured	chữa khỏi
curer	người chữa bệnh
cures	phương pháp chữa trị
curet	cái nạo
curfs	những đường cong
curly	quăn
curls	những lọn tóc
curns	uốn cong
Curry	Cà ri
currs	đồ cuộn
curse	nguyền rủa
curve	đường cong
curvy	cong
cushy	mềm mại
cusks	ngà voi
cutey	dễ thương
cuter	dễ thương hơn
cutie	dễ thương
